DOCUMENTO,Nombre,Apellido,Email,FechaNac,TelFijo,Celular,EstCivil,Domicilio,Sexo
21445628,Carlos,Perez,carlos@mail.com,17-08-1964,72805742,3454395015,Soltero,Salta 340,Masculino
28858510,Esteban,Benavides,esteban@mail.com,22-01-1987,37643426,3454737225,Divorciado,Gerardo Yoya 645,Masculino
22390285,Maria Paz,Roldan,mariapaz@mail.com,25-03-1967,53241268,3454679286,Casada,Eva Peron 1851,Femenino
19440469,Amalia,Zambrano,amalia@mail.com,11-08-1955,12949277,3454117996,Soltera,Peru 1546,Femenino
25942269,Virginia,Pulido,virginia@mail.com,25-08-1980,76703892,3454317469,Casada,Pte Illia 898,Femenino
26992095,Feliciano,Ribes,feliciano@mail.com,07-09-1962,85531545,3454817541,Viudo,San Lorenzo 126,Masculino
32275218,Elias,Clemente,elias@mail.com,02-10-1988,56181578,3454609594,Soltero,Entre Rios 835,Masculino
25942269,Virginia,Pulido,virginia@mail.com,25-08-1980,76703892,3454317469,Casada,Pte Illia 898,Femenino
26992095,Feliciano,Ribes,feliciano@mail.com,07-09-1962,85531545,3454817541,Viudo,San Lorenzo 126,Masculino
32275218,Elias,Clemente,elias@mail.com,02-10-1988,56181578,3454609594,Soltero,Entre Rios 835,Masculino
"44922305","Santiago","Cavalanti","santiago.cavalanti@gmail.com","01-10-2023","456678","23234","Soltero","uruguay 78","X"
"45439493","Santiago","Cavalanti","santiago.CAVALANT12@gmail.com","01-10-2003","4545454","3434144","Casado","uruguay 78","Masculino"
"45453434","Santiago","Cavalanti","santaigo@gmail.com","01-10-2023","344343","3435645","Soltero","uruguay 78","Femenino"
"44701073","Santiago","Cavalanti","tincho@gmail.com","01-10-2019","343434","3434","Divorciado","itguanzoasd 899","X"
"44771013","coffe godf","gregon","ttinchdhchhc@gmail.com","01-10-2023","343434","43434","Divorciado","muolins 1516","Femenino"
"432424","asdasd","asdasd","asdasd@gmail.com","01-10-2023","asdasd","334","Divorciado","asdasd","X"
"33434134","asdasd","asdasdas","asddas@gmail.com","15-10-2023","232343","1232323","Casado","asdasdas","X"
"43434343","asdasdafsda","asdasdasd","asdasdasd@gmail.com","01-10-2023","3434","3434","Soltero","asdasdasd","Femenino"
"343424","wsqadasdasdas","asdasdasd","asdas@gotmail.com","04-10-2023","2323","23232","Divorciado","asdasdasd","X"
"44556789","Tincho","mansilla","tinchitouwu@gmaill.com","04-10-2000","232323","232323","Casado","itguanzo 5594","X"
"5589755","Jorge","Lopez","jorge@mail.com","13-10-2006","NoTiene","3454897812","Soltero","Carriego 12","Masculino"
"12356987","Pedra","Jorgitador","pedra@mail.com","16-08-1950","NoTiene","3289451298","Soltero","Av San Lorenzo","Femenino"
"992834","cava","the best","cacavacava@gmail.com","05-10-2023","123123123","123123","Casado","nose","Femenino"
